DATE_DEBUT;DATE_FIN;INTITULE_MANIFESTATION;ORGANISATEUR;DISCIPLINE;VILLE_DE_LA_MANIFESTATION;OBJET_DEMANDE;SUBVENTION
15/03/2012;16/03/2012;Championnat de Frande d'Ultimate;FFSU-CRSU Nantes;Ultimate;Nantes;Subvention ;1 000 €
17/03/2012;18/03/2012;rencontres départementales;ALPC;Gymnastique;Nantes;Promotion ;
18/03/2012;;Odysséa;Sport santé Nantes;Athlétisme;Nantes;Subvention ;3 500 €
18/03/2012;;Ligue région piste 1/5 et challenge moto 1/5;Mini auto club nantais;Automobile;Nantes;Promotion ;
24/03/2012;25/03/2012;Gladiator Contest Roller;ANSIX;Roller skating;Nantes;Subvention ;1 000 €
31/03/2012;01/04/2012;Championnat de France de Boxe Anglaise;FFSU-CRSU Nantes;Boxe;Nantes;Subvention ;1 500 €
01/04/2012;;Championnats de France Minimes (interzones);NEC ESCRIME;Escrime;Nantes;Subvention ;2 000 €
01/04/2012;;Raid des Mines de Nantes Site de Vioreau;Association sportive de l'école des Mines;Raid;Nantes;Subvention ;2 000 €
06/04/2012;;tournoi de football;Externat des enfants nantais UGSEL;Football;Nantes;Promotion ;
07/04/2012;;Tournoi foot U7 à U9;Nantes métallo chantenaysien;Football;Nantes;Promotion ;
07/04/2012;08/04/2012;Tournoi rink hockey;Nantes atlantique Rink hockey;Rink hockey;Nantes;Promotion ;
07/04/2012;08/04/2012;Challenge Michel Lecointre;Stade Nantais;Rugby;Nantes;Subvention ;2 500 €
15/04/2012;;Marathon de Nantes;Courir à Nantes;Athlétisme;Nantes;Subvention ;7 500 €
18/04/2012;21/04/2012;Mondial de Football la St Pierre de Nantes;St Pierre de Nantes;Football;Nantes;Subvention ;3 000 €
22/04/2012;;Super trail nantais;les foulées nantaises;Athlétisme;Nantes;Promotion ;
22/04/2012;;Ligue région piste 1/8 et challenge classique brushless;Mini auto club nantais;Automobile;Nantes;Promotion ;
26/04/2012;;Grand Prix du Conseil général;F.A.B.N;Boules;Nantes;Subvention ;750 €
01/05/2012;;Tournoi foot U11/U13;Nantes métallo chantenaysien;Football;Nantes;Promotion ;
05/05/2012;;Tournoi de Touch Rugby;Arrows Nantes Touch;Rugby;Nantes;Promotion ;
05/05/2012;;Tournoi de volley;Léo Lagrange Nantes Volley Ball;Volley ;Nantes;Promotion ;
05/05/2012;06/05/2012;Régataïades;Université Nantes Aviron;Aviron;Nantes;Subvention ;2 500 €
06/05/2012;;course d'orientation;Nantes Atlantique orientation / comité départemental;Course d'orientation;Nantes;Promotion ;
08/05/2012;;Cité Foot;;Football;Nantes;Promotion ;
08/05/2012;;coupe départementale de Rink-hockey;Comité Loire-atlantique Rink hockey;Rink hockey;Nantes;Promotion ;
12/05/2012;;Championnat de France de Lutte adaptée;Comité départemental de Lutte;Sport adapté;Nantes;Subvention ;3 400 €
13/05/2012;;Journée Kayac Polo;NACK;Kayac polo;Nantes;Promotion ;
13/05/2012;;Championnat 44 ecole de cyclisme;Nantes Doulon Vélo Sport;Cyclisme;Nantes;Promotion ;
16/05/2012;19/05/2011;Championnats de France seniors de Tennis de Table;Comité départemental de Tennis de Table de L.A.;Tennis de Table;Nantes;Subvention ;6 000 €
17/05/2012;19/05/2012;Phases finales de la Coupe de France Espoirs Féminines;Volley Ball Nantes Atlantique;Volley;Nantes;Subvention ;1 500 €
19/05/2012;;19ème grand prix des maîtres;ASPTT Nantes natation;Natation;Nantes;Promotion ;
23/05/2012;;Les Petits Princes du Hand;Comité Départemental de Handball;Handball;Nantes;Subvention ;1 500 €
24/05/2012;;Tournoi des écoles;CD44 Hockey sur gazon;Hockey sur gazon;Nantes;Subvention ;4 000 €
26/05/2012;;Handi-Pro-Ham de Golf;Handi Pro Ham;Handisport;Nantes;Subvention ;2 500 €
26/05/2012;;Mondial Futsal;Football Club de l'Erdre;Football;Nantes;Subvention ;5 000 €
26/05/2012;;10 kms Nantes 44 PDL;M S Chantenaysien;Athlétisme;Nantes;Promotion ;
26/05/2012;;Challenge Loire atlantique;M S Chantenaysien;Athlétisme;Nantes;Promotion ;
27/05/2012;28/05/2012;"Championnat de France Fleuret
et Championnat de France Handisport";NEC ESCRIME;Escrime;Nantes;Subvention ;2 000 €
30/05/2012;;Critérium de Nantes Est Entreprises;Nantes Doulon Vélo Sport;Cyclisme;Nantes;Promotion ;
31/05/2012;;Concours de pétanque;Vivre à Beaulieu;Pétanque;Nantes;Promotion ;
03/06/2012;;Fête du Mini Basket;Comité Basket 44;Basket-Ball;Nantes;Subvention ;1 300 €
06/06/2012;;NANT'HAIES;S.N.A.C.;Athlétisme;Nantes;Subvention ;8 000 €
08/06/2012;10/06/2012;Championnat de France de Gymnastique;La Nantaise de Gymnastique;Gymnastique;Nantes;Subvention ;13 500 €
09/06/2012;;Compétition BMX et VTT;Section Trail;Cyclisme;Nantes;Promotion ;
09/06/2012;10/06/2012;Tournoi Pascal Goaziou Hochey 100 % ensemble;ASTA;Handisport;Nantes;Subvention ;
09/06/2012;10/06/2012;Phase finale du Championnat de France Féminin U14 - U16;Hockey club de Nantes;Hockey sur gazon;Nantes;Subvention ;1 000 €
10/06/2012;;Tournoi foot U15;Nantes métallo chantenaysien;Football;Nantes;Promotion ;
14/06/2012;16/06/2012;Open International de France de Tennis de Table Handisport;TTCNA Handisport;Handisport;Nantes;Subvention ;6 000 €
16/06/2012;;Finale Contest tour;UFOLEP;Roller Skating;Nantes;Promotion ;
16/06/2012;17/06/2012;Remontées de l'Erdre;CVAN Nantes;Voile;Nantes;Subvention ;2 000 €
17/06/2012;;Ligue région piste 1/8 et challenge classique brushless;Mini auto club nantais;Automobile;Nantes;Promotion ;
22/06/2012;23/06/2012;Casquettes et Crampons;CD44 Sport Adapté;Handisport;Nantes;Subvention ;1 500 €
27/06/2012;;Triathlon jeunes des dervallières;Triathlon Club Nantais;Triathlon;Nantes;Promotion ;
30/06/2012;07/07/2012;Loire atlantique à Pieds Nantes La Baule;Comité départemental de la Randonnée pédestre;Randonnée;Nantes;Promotion ;
06/07/2012;08/07/2012;Open de Nantes Atlantique;Association Golfique de Nantes Erdre;Golf;Nantes;Subvention ;3 500 €
07/07/2012;08/07/2012;Grand prix national Brushless;mini auto club nantais;Automobile;Nantes;Promotion ;
21/07/2012;28/07/2012;La Balle Mimosa Loire-Atlantique;Association  13 ans et moins 44;Tennis;Nantes;Subvention ;8 000 €
01/09/2012;02/09/2012;Nantes International Handball Cup;Handball Club Nantais;Handball;Nantes;Subvention ;1 500 €
08/09/2012;;Tournoi foot St médard de doulon U15;AEP Saint médard de doulon;Football;Nantes;Promotion ;
08/09/2012;09/09/2012;Tournoi de basket cadets et seniors;Amicale Laïque La Chauvinière;Basket;Nantes;Promotion ;
09/09/2012;;Ligue région TT;mini auto club nantais;Automobile;Nantes;Promotion ;
